epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.75846,1.17947,3.01512,1.41302,0.61198,0.86199,0.88778,0.62113,1.39178,1.33117,1.24621,0,0,0
2,3.12804,1.37691,2.96483,1.65889,0.60342,0.8794,0.88807,0.61531,1.40161,1.34925,1.25018,1.17822e-06,1.17822e-06,1.17822e-06
3,4.45499,1.46152,2.39669,1.80522,0.59263,0.87424,0.88799,0.61749,1.4307,1.3729,1.26985,2.33288e-06,2.33288e-06,2.33288e-06
4,5.78599,1.55596,2.89508,1.81399,0.5501,0.83333,0.83111,0.59626,1.46251,1.41065,1.28101,3.46397e-06,3.46397e-06,3.46397e-06
5,7.1113,1.42168,2.53294,1.67261,0.67866,0.75,0.87224,0.59724,1.49092,1.46583,1.30506,4.5715e-06,4.5715e-06,4.5715e-06
6,8.39933,1.27222,3.17654,1.63049,0.68365,0.58333,0.88625,0.57077,1.50684,1.51328,1.31666,5.65548e-06,5.65548e-06,5.65548e-06
7,9.69944,1.01841,2.21511,1.28429,0.80504,0.58333,0.88636,0.56513,1.52205,1.588,1.33506,6.71588e-06,6.71588e-06,6.71588e-06
8,11.1217,0.99899,2.47742,1.35153,0.78814,0.58333,0.88288,0.53067,1.53672,1.65932,1.34665,7.75273e-06,7.75273e-06,7.75273e-06
