                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    100,                0.72844,                 1.1062,                0.56062,                0.92262,                0.98305,                0.93834,                0.95107,                0.85128,                0.96503,                0.92293,                0.92683,                0.68243,                0.63564,                0.92936,                0.49277,                0.88003,             0.00030546,             0.00030546,             0.00030546
                    101,                0.67768,                 0.9322,                 0.5859,                0.92676,                0.98305,                0.93834,                0.95107,                0.85128,                0.96503,                0.92293,                0.92683,                0.68243,                0.63564,                0.92936,                0.49277,                0.88003,             0.00029723,             0.00029723,             0.00029723
                    102,                0.68149,                0.99039,                 0.5554,                0.92389,                0.98305,                0.93834,                0.95107,                0.85128,                0.96503,                0.92293,                0.92683,                0.68243,                0.63564,                0.92936,                0.49277,                0.88003,             0.00028591,             0.00028591,             0.00028591
                    103,                0.71327,                 1.0912,                0.57444,                0.93531,                0.98305,                0.93834,                0.95107,                0.85128,                0.96503,                0.92293,                0.92683,                0.68243,                0.63564,                0.92936,                0.49277,                0.88003,              0.0002746,              0.0002746,              0.0002746
                    104,                0.69746,                 0.9325,                0.52639,                0.88948,                0.98193,                0.93931,                0.95324,                0.86511,                0.96276,                0.92192,                 0.9275,                0.70011,                0.61706,                0.88793,                  0.465,                0.87337,             0.00026328,             0.00026328,             0.00026328
                    105,                0.68405,                0.98792,                0.51596,                0.90201,                0.98193,                0.93931,                0.95324,                0.86511,                0.96276,                0.92192,                 0.9275,                0.70011,                0.61706,                0.88793,                  0.465,                0.87337,             0.00025196,             0.00025196,             0.00025196
                    106,                0.66567,                0.96165,                0.50557,                0.89595,                0.98193,                0.93931,                0.95324,                0.86511,                0.96276,                0.92192,                 0.9275,                0.70011,                0.61706,                0.88793,                  0.465,                0.87337,             0.00024064,             0.00024064,             0.00024064
                    107,                0.70162,                 1.0019,                 0.5418,                0.90194,                0.98193,                0.93931,                0.95324,                0.86511,                0.96276,                0.92192,                 0.9275,                0.70011,                0.61706,                0.88793,                  0.465,                0.87337,             0.00022933,             0.00022933,             0.00022933
                    108,                0.74839,                 1.0171,                0.52837,                0.88425,                0.98601,                 0.9242,                0.95494,                0.86457,                0.97211,                0.91387,                 0.9347,                0.71231,                0.58834,                0.86259,                 0.4363,                0.86948,             0.00021801,             0.00021801,             0.00021801
                    109,                 0.6653,                0.91041,                0.48552,                0.87737,                0.98601,                 0.9242,                0.95494,                0.86457,                0.97211,                0.91387,                 0.9347,                0.71231,                0.58834,                0.86259,                 0.4363,                0.86948,             0.00020669,             0.00020669,             0.00020669
                    110,                0.71505,                 1.0793,                0.54915,                0.90597,                0.98601,                 0.9242,                0.95494,                0.86457,                0.97211,                0.91387,                 0.9347,                0.71231,                0.58834,                0.86259,                 0.4363,                0.86948,             0.00019537,             0.00019537,             0.00019537
                    111,                0.66235,                0.94525,                0.52459,                0.87511,                0.98601,                 0.9242,                0.95494,                0.86457,                0.97211,                0.91387,                 0.9347,                0.71231,                0.58834,                0.86259,                 0.4363,                0.86948,             0.00018406,             0.00018406,             0.00018406
                    112,                0.71925,                 1.0492,                0.54527,                0.89509,                0.96795,                0.94293,                0.95516,                0.87575,                 0.9576,                0.92678,                0.93413,                0.70922,                0.57972,                0.85123,                0.42523,                0.86776,             0.00017274,             0.00017274,             0.00017274
                    113,                0.67373,                 0.9775,                0.52371,                0.89354,                0.96795,                0.94293,                0.95516,                0.87575,                 0.9576,                0.92678,                0.93413,                0.70922,                0.57972,                0.85123,                0.42523,                0.86776,             0.00016142,             0.00016142,             0.00016142
                    114,                0.67307,                0.95497,                0.52161,                0.89236,                0.96795,                0.94293,                0.95516,                0.87575,                 0.9576,                0.92678,                0.93413,                0.70922,                0.57972,                0.85123,                0.42523,                0.86776,              0.0001501,              0.0001501,              0.0001501
                    115,                0.75555,                 1.0726,                0.55515,                0.90158,                0.96795,                0.94293,                0.95516,                0.87575,                 0.9576,                0.92678,                0.93413,                0.70922,                0.57972,                0.85123,                0.42523,                0.86776,             0.00013878,             0.00013878,             0.00013878
                    116,                0.67637,                0.96272,                0.52315,                0.92029,                0.97394,                0.94509,                0.95612,                0.87611,                0.95941,                0.92917,                 0.9352,                0.71455,                0.56279,                0.83077,                0.41363,                0.86275,             0.00012747,             0.00012747,             0.00012747
                    117,                0.60754,                0.91607,                0.48482,                0.88025,                0.97394,                0.94509,                0.95612,                0.87611,                0.95941,                0.92917,                 0.9352,                0.71455,                0.56279,                0.83077,                0.41363,                0.86275,             0.00011615,             0.00011615,             0.00011615
                    118,                0.58435,                0.86473,                0.46986,                0.87698,                0.97394,                0.94509,                0.95612,                0.87611,                0.95941,                0.92917,                 0.9352,                0.71455,                0.56279,                0.83077,                0.41363,                0.86275,             0.00010483,             0.00010483,             0.00010483
                    119,                0.65673,                0.91981,                0.51005,                0.87473,                0.97394,                0.94509,                0.95612,                0.87611,                0.95941,                0.92917,                 0.9352,                0.71455,                0.56279,                0.83077,                0.41363,                0.86275,             9.3514e-05,             9.3514e-05,             9.3514e-05
                    120,                0.66695,                0.95562,                0.51451,                0.90184,                0.97297,                0.94479,                0.95643,                0.88572,                0.95758,                0.92749,                0.93453,                0.71915,                0.54732,                0.80753,                0.41107,                0.85787,             8.2196e-05,             8.2196e-05,             8.2196e-05
                    121,                0.56531,                0.85065,                0.45349,                0.85345,                0.97297,                0.94479,                0.95643,                0.88572,                0.95758,                0.92749,                0.93453,                0.71915,                0.54732,                0.80753,                0.41107,                0.85787,             7.0878e-05,             7.0878e-05,             7.0878e-05
                    122,                 0.5911,                0.88536,                0.45781,                0.86935,                0.97297,                0.94479,                0.95643,                0.88572,                0.95758,                0.92749,                0.93453,                0.71915,                0.54732,                0.80753,                0.41107,                0.85787,             5.9561e-05,             5.9561e-05,             5.9561e-05
                    123,                0.58286,                0.84567,                0.44969,                0.86253,                0.97297,                0.94479,                0.95643,                0.88572,                0.95758,                0.92749,                0.93453,                0.71915,                0.54732,                0.80753,                0.41107,                0.85787,             4.8243e-05,             4.8243e-05,             4.8243e-05
                    124,                0.63592,                0.93445,                0.49282,                0.90442,                0.97598,                 0.9422,                 0.9583,                0.88438,                0.95686,                0.92582,                0.93502,                0.72298,                 0.5382,                0.79825,                 0.4081,                0.85507,             3.6925e-05,             3.6925e-05,             3.6925e-05
                    125,                0.59802,                0.89637,                0.47185,                0.88805,                0.97598,                 0.9422,                 0.9583,                0.88438,                0.95686,                0.92582,                0.93502,                0.72298,                 0.5382,                0.79825,                 0.4081,                0.85507,             2.5608e-05,             2.5608e-05,             2.5608e-05
